ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
2131,5,Guerneville,Sonoma,39,-123
2132,5,Guinda,Yolo,39,-122
2133,5,Gustine,Merced,37,-121
2134,5,Hacienda Heights,Los Angeles,34,-118
2135,5,Half Moon Bay,San Mateo,37,-122
2136,5,Hamilton City,Glenn,40,-122
2137,5,Hanford,Kings,36,-120
2138,5,Happy Camp,Siskiyou,42,-123
2139,5,Harbor City,Los Angeles,34,-118
2140,5,Harmony,San Luis Obispo,36,-121
2141,5,Hat Creek,Shasta,41,-121
2142,5,Hathaway Pines,Calaveras,38,-120
2143,5,Hawaiian Gardens,Los Angeles,34,-118
2144,5,Hawthorne,Los Angeles,34,-118
2145,5,Hayfork,Trinity,41,-123
2146,5,Hayward,Alameda,38,-122
2147,5,Healdsburg,Sonoma,39,-123
2148,5,Heber,Imperial,33,-115
2149,5,Helendale,San Bernardino,35,-117
2150,5,Helm,Fresno,36,-120
2151,5,Hemet,Riverside,34,-117
2152,5,Herald,Sacramento,38,-121
2153,5,Hercules,Contra Costa,38,-122
2154,5,Herlong,Lassen,40,-120
2155,5,Hermosa Beach,Los Angeles,34,-118
2156,5,Hesperia,San Bernardino,34,-117
2157,5,Hickman,Stanislaus,38,-121
2158,5,Hidden Valley Lake,Lake,40,-124
2159,5,Highland,San Bernardino,34,-117
2160,5,Hilmar,Merced,37,-121
2161,5,Hinkley,San Bernardino,35,-117
2162,5,Hollister,San Benito,37,-121
2163,5,Holt,San Joaquin,38,-121
2164,5,Holtville,Imperial,33,-115
2165,5,Holy City,Santa Clara,37,-122
2166,5,Homeland,Riverside,34,-117
2167,5,Homewood,Placer,39,-120
2168,5,Honeydew,Humboldt,40,-124
2169,5,Hood,Sacramento,38,-122
2170,5,Hoopa,Humboldt,41,-124
2171,5,Hopland,Mendocino,39,-123
2172,5,Hornbrook,Siskiyou,42,-123
2173,5,Hornitos,Mariposa,37,-120
2174,5,Hughson,Stanislaus,38,-121
2175,5,Hume,Fresno,37,-119
2176,5,Huntington Beach,Orange,34,-118
2177,5,Huntington Park,Los Angeles,34,-118
2178,5,Huron,Fresno,36,-120
2179,5,Hyampom,Trinity,41,-123
2180,5,Hydesville,Humboldt,41,-124
2181,5,Idyllwild,Riverside,34,-117
2182,5,Igo,Shasta,40,-123
2183,5,Imperial,Imperial,33,-116
2184,5,Imperial Beach,San Diego,33,-117
2185,5,Independence,Inyo,37,-118
2186,5,Indian Wells,Riverside,34,-116
2187,5,Indio,Riverside,34,-116
2188,5,Inglewood,Los Angeles,34,-118
2189,5,Inverness,Marin,38,-123
